period,seguro,abono,bolsa
1994-01,13059305.52,25872677.25,0
1994-02,-15401683.11,16600735.48,0
1994-03,5548762.15,28085120.91,0
1994-04,12455872.37,21465266.54,0
1994-05,15847627.45,21464242.28,0
1994-06,16150619.12,21464090.26,0
1994-07,33863948.85,21464090.25,0
1994-08,24300470.00,21464090.25,0
1994-09,106695584.89,21464090.25,0
1994-10,-21477117.87,0.00,0
1994-11,51722093.71,156122542.44,0
1994-12,148855019.36,122019696.62,0
1995-01,12657517.16,41174304.54,0
1995-02,77191874.04,129782137.58,0
1995-03,83312479.49,157741205.86,0
1995-04,118292332.03,145495286.30,0
1995-05,313410828.84,132522073.04,0
1995-06,188307505.14,132521420.11,0
1995-07,174086758.31,132521420.11,0
1995-08,334913306.37,132521420.11,0
1995-09,275475491.27,132090001.89,0
1995-10,377995666.98,0.00,0
1995-11,377537573.90,250443500.00,0
1995-12,336771911.30,230140955.02,0
1996-01,45940336.85,183810543.39,0
1996-02,21225028.26,140774009.02,0
1996-03,207503995.43,118814999.93,0
1996-04,83883147.29,106769008.12,0
1996-05,87149156.48,114696641.00,0
1996-06,66978199.77,115910476.99,0
1996-07,140755354.24,116006270.80,0
1996-08,69454831.01,0.00,0
1996-09,-3388269.13,0.00,0
1996-10,179308728.43,166246947.65,0
1996-11,195087107.83,251889999.25,0
1996-12,66862527.27,202427136.85,0
1997-01,196560958.75,120971424.47,0
1997-02,230297039.12,40902057.43,0
1997-03,208887074.81,129240669.57,0
1997-04,183776952.62,114227537.83,0
1997-05,54443025.12,179214680.23,0
1997-06,100386955.52,131768627.49,0
1997-07,108835960.92,131768214.67,0
1997-08,97640499.51,131557609.81,0
1997-09,125687530.20,197642228.57,0
1997-10,96600555.58,190703553.06,0
1997-11,121872003.93,273032606.34,0
1997-12,154523465.53,121557674.06,0
1998-01,198763365.69,28169585.34,0
1998-02,236611366.16,71672142.06,0
1998-03,428731941.36,48372852.18,0
1998-04,317175494.43,40748440.08,0
1998-05,285679848.14,25598640.39,0
1998-06,600858930.42,24467058.25,0
1998-07,118221435.52,24467058.25,0
1998-08,190069204.61,134252674.40,0
1998-09,171491930.55,123045127.56,0
1998-10,147761805.99,182588022.32,0
1998-11,163011395.18,105677295.72,0
1998-12,212401967.82,40574650.76,0
1999-01,124254650.97,70282922.22,0
1999-02,210798483.47,24995778.08,0
1999-03,240854145.99,69174756.80,0
1999-04,248434889.78,47960136.68,0
1999-05,292976366.91,47764349.90,0
1999-06,363619055.14,47763068.60,0
1999-07,164780369.82,47740249.91,0
1999-08,141039369.13,115503606.23,0
1999-09,204100367.68,155368408.94,0
1999-10,188240232.85,59539817.07,0
1999-11,162437203.66,4894059.87,0
1999-12,174848797.24,29871725.04,0
2000-01,213070593.96,37314969.42,0
2000-02,207779822.29,47321163.52,0
2000-03,258608866.57,22724013.78,0
2000-04,25243472.87,71737139.33,0
2000-05,42070340.06,71349020.28,0
2000-06,104982792.88,71342407.35,0
2000-07,92104158.72,121161228.95,0
2000-08,78951777.71,65965516.64,0
2000-09,84504408.41,64413603.74,0
2000-10,54996086.58,69229517.10,0
2000-11,52594426.21,1707155.00,0
2000-12,116466474.37,11422097.91,0
2001-01,123245551.54,29013091.39,0
2001-02,15508863.16,82380648.65,0
2001-03,111491328.96,45908540.37,0
2001-04,15517748.61,18194798.99,0
2001-05,177187410.59,18189534.79,0
2001-06,43167047.16,18189734.53,0
2001-07,-12582854.20,119668726.70,0
2001-08,79824302.29,32936968.27,0
2001-09,106065959.80,-18569337.48,0
2001-10,44605395.67,30290691.52,0
2001-11,143877783.56,-24798582.64,0
2001-12,151298962.56,-22274239.12,0
2002-01,-98832748.25,29541219.50,0
2002-02,95771546.37,16025909.26,0
2002-03,-298703.42,67498124.26,0
2002-04,-171492856.74,56012592.10,0
2002-05,87965466.54,52092669.54,0
2002-06,-293879831.83,48805084.40,0
2002-07,126482193.26,166425554.12,0
2002-08,213400169.58,119759345.96,0
2002-09,220558023.42,114393191.32,0
2002-10,290587584.44,155009079.22,0
2002-11,242007439.29,22932098.88,0
2002-12,261229771.75,51102534.26,0
2003-01,310621705.75,30811189.26,0
2003-02,208400854.86,52828755.49,0
2003-03,114358739.97,34794448.21,0
2003-04,30974355.85,42864289.97,0
2003-05,267596005.37,27648712.53,0
2003-06,104140287.63,4495575.73,0
2003-07,53885556.85,129642185.35,0
2003-08,179090184.02,57677121.38,0
2003-09,-236418128.33,-145108615.80,0
2003-10,221024280.11,11226714.74,-10582143.54
2003-11,95136043.46,-98593410.35,-13969215.39
2003-12,2481845.07,24714830.68,150933247.63
2004-01,34674315.77,10849848.84,185231548.53
2004-02,36988744.77,71202804.28,259289160.81
2004-03,36225499.82,43059724.88,264747358.05
2004-04,3574640.94,30236217.80,289261445.61
2004-05,57706247.17,57064810.62,321756271.37
2004-06,46793691.73,18878241.08,354624072.97
2004-07,9247265.34,179734509.83,381542870.92
2004-08,-160388160.42,-81424989.76,393890477.72
2004-09,-2719388.01,32209335.74,337331123.55
2004-10,62970520.63,-72999963.66,355829502.15
2004-11,26588414.03,-264463749.50,397195318.68
2004-12,107041525.98,66282007.64,122611301.22
2005-01,130100204.35,48645625.63,335017669.84
2005-02,15896798.37,36447177.25,408825903.69
2005-03,39065767.50,90288861.51,262384041.04
2005-04,-2833443.21,77670146.21,-39337998.81
2005-05,-10413810.90,15661699.01,313743550.37
2005-06,10568117.62,2217343.92,305258835.60
2005-07,36857421.77,7768899.18,366518378.58
2005-08,77848098.94,30582990.81,280752032.02
2005-09,104052067.32,23773677.60,215140833.50
2005-10,37643466.68,-8403686.81,196212131.53
2005-11,111388563.05,-11737431.47,341244201.08
2005-12,81704571.97,-2016667.78,282198358.55
2006-01,190747034.34,7418225.79,293370859.14
2006-02,38734329.33,11514018.73,267314459.74
2006-03,768842.02,11845693.56,136318630.28
2006-04,14365107.51,2841724.02,122849369.31
2006-05,5231655.67,9381989.75,131879944.92
2006-06,58492854.59,6595560.49,168920864.70
2006-07,11813822.56,-9381106.27,165805537.98
2006-08,14848194.60,7626309.81,13427084.22
2006-09,9709791.20,39376153.89,23787451.88
2006-10,99353879.03,108544611.83,139724300.82
2006-11,33812970.71,-312002588.01,177071352.25
2006-12,304634531.87,161190034.30,265754571.11
2007-01,140875989.07,87694252.15,161696730.56
2007-02,15371906.28,69346944.31,85172990.10
2007-03,88989143.10,52714410.52,115483045.38
2007-04,-340160.79,35727592.48,121552406.74
2007-05,9170846.71,19034981.02,181797921.65
2007-06,108702746.24,5027902.33,160137018.74
2007-07,130468099.48,4235253.60,156795058.81
2007-08,45415349.23,99608856.52,64127266.51
2007-09,33407289.24,38960847.35,185274280.90
2007-10,159212840.83,67030627.06,147322695.85
2007-11,93699691.12,146743865.98,145273769.10
2007-12,355903207.95,113694154.46,163642665.57
2008-01,182285896.74,12165061.74,161851494.20
2008-02,224125788.74,3842592.85,170405222.71
2008-03,160068023.92,6280110.37,78587288.25
2008-04,70450813.96,4602284.97,152107830.56
2008-05,202983349.41,2713730.07,152883612.96
2008-06,146699545.18,14234538.93,159793487.23
2008-07,165642877.26,8070511.67,89549031.49
2008-08,43310488.33,268797121.60,201134756.73
